
Period,Value
Jan-1992,3023
Feb-1992,2806
Mar-1992,3040
Apr-1992,3150
May-1992,3175
Jun-1992,3240
Jul-1992,3224
Aug-1992,3586
Sep-1992,3409
Oct-1992,3329
Nov-1992,3851
Dec-1992,7133
Jan-1993,3254
Feb-1993,2735
Mar-1993,3211
Apr-1993,3374
May-1993,3315
Jun-1993,3424
Jul-1993,3440
Aug-1993,3880
Sep-1993,3611
Oct-1993,3496
Nov-1993,4260
Dec-1993,7573
Jan-1994,3499
Feb-1994,3116
Mar-1994,3718
Apr-1994,3640
May-1994,3641
Jun-1994,3796
Jul-1994,3688
Aug-1994,4423
Sep-1994,4104
Oct-1994,3904
Nov-1994,4630
Dec-1994,7986
Jan-1995,3908
Feb-1995,3271
Mar-1995,3908
Apr-1995,3845
May-1995,3951
Jun-1995,4129
Jul-1995,3893
Aug-1995,4649
Sep-1995,4294
Oct-1995,3955
Nov-1995,4904
Dec-1995,8326
Jan-1996,4140
Feb-1996,3521
Mar-1996,4102
Apr-1996,4096
May-1996,4042
Jun-1996,4286
Jul-1996,4166
Aug-1996,4989
Sep-1996,4334
Oct-1996,4340
Nov-1996,5208
Dec-1996,8847
Jan-1997,4311
Feb-1997,3588
Mar-1997,4209
Apr-1997,4177
May-1997,4372
Jun-1997,4456
Jul-1997,4298
Aug-1997,4949
Sep-1997,4547
Oct-1997,4463
Nov-1997,5411
Dec-1997,8911
Jan-1998,4413
Feb-1998,3896
Mar-1998,4422
Apr-1998,4452
May-1998,4557
Jun-1998,4783
Jul-1998,4584
Aug-1998,5158
Sep-1998,4800
Oct-1998,4669
Nov-1998,5424
Dec-1998,9283
Jan-1999,4661
Feb-1999,4133
Mar-1999,4804
Apr-1999,4654
May-1999,4779
Jun-1999,5088
Jul-1999,4884
Aug-1999,5396
Sep-1999,5062
Oct-1999,4852
Nov-1999,5896
Dec-1999,9863
Jan-2000,4698
Feb-2000,4527
Mar-2000,5122
Apr-2000,4937
May-2000,5239
Jun-2000,5345
Jul-2000,5174
Aug-2000,5892
Sep-2000,5533
Oct-2000,4934
Nov-2000,6126
Dec-2000,10065
Jan-2001,4971
Feb-2001,4486
Mar-2001,5208
Apr-2001,4843
May-2001,5145
Jun-2001,5323
Jul-2001,5076
Aug-2001,6162
Sep-2001,5332
Oct-2001,5154
Nov-2001,6697
Dec-2001,10186
Jan-2002,5394
Feb-2002,4483
Mar-2002,5214
Apr-2002,4958
May-2002,5215
Jun-2002,5194
Jul-2002,5150
Aug-2002,6184
Sep-2002,5419
Oct-2002,5173
Nov-2002,6697
Dec-2002,10131
Jan-2003,5516
Feb-2003,4377
Mar-2003,4964
Apr-2003,4995
May-2003,5231
Jun-2003,5323
Jul-2003,5291
Aug-2003,6714
Sep-2003,5627
Oct-2003,5216
Nov-2003,6504
Dec-2003,10601
Jan-2004,5856
Feb-2004,4874
Mar-2004,5406
Apr-2004,5169
May-2004,5297
Jun-2004,5602
Jul-2004,5677
Aug-2004,6706
Sep-2004,5757
Oct-2004,5418
Nov-2004,6637
Dec-2004,10768
Jan-2005,5839
Feb-2005,4902
Mar-2005,5560
Apr-2005,5490
May-2005,5534
Jun-2005,5669
Jul-2005,5777
Aug-2005,6989
Sep-2005,5841
Oct-2005,5548
Nov-2005,6803
Dec-2005,11276
Jan-2006,6344
Feb-2006,5171
Mar-2006,5975
Apr-2006,5665
May-2006,5911
Jun-2006,6113
Jul-2006,5905
Aug-2006,7213
Sep-2006,6442
Oct-2006,5693
Nov-2006,6855
Dec-2006,11247
Jan-2007,6223
Feb-2007,5052
Mar-2007,6189
Apr-2007,5637
May-2007,6227
Jun-2007,6555
Jul-2007,6333
Aug-2007,7750
Sep-2007,6351
Oct-2007,5973
Nov-2007,7384
Dec-2007,11235
Jan-2008,6532
Feb-2008,5495
Mar-2008,6107
Apr-2008,5910
May-2008,6463
Jun-2008,6363
Jul-2008,6371
Aug-2008,7964
Sep-2008,6183
Oct-2008,5616
Nov-2008,6746
Dec-2008,10811
Jan-2009,6428
Feb-2009,5071
Mar-2009,5718
Apr-2009,5693
May-2009,5982
Jun-2009,6130
Jul-2009,6029
Aug-2009,7503
Sep-2009,6205
Oct-2009,5594
Nov-2009,6496
Dec-2009,10829
Jan-2010,6247
Feb-2010,4995
Mar-2010,6033
Apr-2010,5659
May-2010,5885
Jun-2010,6237
Jul-2010,6092
Aug-2010,7381
Sep-2010,6113
Oct-2010,5658
Nov-2010,6985
Dec-2010,10942
Jan-2011,6073
Feb-2011,5190
Mar-2011,6172
Apr-2011,6000
May-2011,5960
Jun-2011,6256
Jul-2011,5997
Aug-2011,7627
Sep-2011,6372
Oct-2011,5581
Nov-2011,6904
Dec-2011,10515
Jan-2012,6049
Feb-2012,5520
Mar-2012,6536
Apr-2012,5967
May-2012,6361
Jun-2012,6600
Jul-2012,6213
Aug-2012,7682
Sep-2012,6290
Oct-2012,5845
Nov-2012,7109
Dec-2012,10987
Jan-2013,6530
Feb-2013,5589
Mar-2013,6624
Apr-2013,5954
May-2013,6377
Jun-2013,6501
Jul-2013,6440
Aug-2013,7704
Sep-2013,6326
Oct-2013,6047
Nov-2013,7523
Dec-2013,11137
Jan-2014,5959
Feb-2014,5350
Mar-2014,6239
Apr-2014,6166
May-2014,6408
Jun-2014,6448
Jul-2014,6489
Aug-2014,8096
Sep-2014,6660
Oct-2014,6394
Nov-2014,7658
Dec-2014,11724
Jan-2015,6250
Feb-2015,5424
Mar-2015,6531
Apr-2015,6237
May-2015,6634
Jun-2015,6726
Jul-2015,6790
Aug-2015,7903
Sep-2015,6854
Oct-2015,6428
Nov-2015,7599
Dec-2015,12095
Jan-2016,6410
Feb-2016,5840
Mar-2016,6917
Apr-2016,6492
May-2016,6688
Jun-2016,7210
Jul-2016,6908
Aug-2016,7777
Sep-2016,6726
Oct-2016,6290
Nov-2016,7599
Dec-2016,11452
Jan-2017,6213
Feb-2017,5555
Mar-2017,6633
Apr-2017,6348
May-2017,6562
Jun-2017,6725
Jul-2017,6505
Aug-2017,7646
Sep-2017,6719
Oct-2017,6340
Nov-2017,7780
Dec-2017,10870
Jan-2018,5919
Feb-2018,5621
Mar-2018,6983
Apr-2018,6258
May-2018,6699
Jun-2018,6733
Jul-2018,6279
Aug-2018,7250
Sep-2018,6011
Oct-2018,5951
Nov-2018,7189
Dec-2018,9202
Jan-2019,5569
Feb-2019,5173
Mar-2019,6262
Apr-2019,6159
May-2019,6426
Jun-2019,6574
Jul-2019,6538
Aug-2019,7495
Sep-2019,6224
Oct-2019,6327
Nov-2019,7264
Dec-2019,9512
Jan-2020,5779
Feb-2020,5534
Mar-2020,5195
Apr-2020,3430
May-2020,6230
Jun-2020,8207
Jul-2020,7862
Aug-2020,7956
Sep-2020,7534
Oct-2020,7364
Nov-2020,8143
Dec-2020,10920
Jan-2021,7166
Feb-2021,6012
Mar-2021,8895
Apr-2021,8342
May-2021,8258
Jun-2021,8769
Jul-2021,8418
Aug-2021,9092
Sep-2021,8003
Oct-2021,7987
Nov-2021,9470
Dec-2021,12081
Jan-2022,6734
Feb-2022,6626
Mar-2022,8142
Apr-2022,8144
May-2022,8201
Jun-2022,8637
Jul-2022,8524
Aug-2022,9449
Sep-2022,8316
Oct-2022,8168
Nov-2022,9432
Dec-2022,12424
Jan-2023,7257
Feb-2023,6796
Mar-2023,8258
Apr-2023,7976
May-2023,8350
Jun-2023,8653
Jul-2023,8528
Aug-2023,9241
Sep-2023,8183
Oct-2023,NA
Nov-2023,NA
Dec-2023,NA
